Unique clubs: 870
  [ 14/870] AEK Larnaca                         -> 'AEK Larnaca FC'
  [ 18/870] AGF                                 -> NO MATCH
  [ 23/870] APOEL                               -> 'APOEL FC'
  [ 37/870] Akhisarspor                         -> NO MATCH
  [ 38/870] Akron Tolyatti                      -> 'FC Akron Tolyatti'
  [ 41/870] Al Ahly                             -> 'Al Ahly SC'
  [ 43/870] Al Bataeh                           -> 'Al Bataeh Club'
  [ 44/870] Al Dhafra                           -> 'Al Dhafra FC'
  [ 48/870] Al Nasr                             -> 'Al-Nasr SC (Dubai)'
  [ 51/870] Al-Ahli                             -> 'Al-Ahli Saudi FC'
  [ 56/870] Al-Faisaly                          -> 'Al Faisaly FC'
  [ 57/870] Al-Fateh                            -> 'Al Fateh SC'
  [ 62/870] Al-Hussein                          -> 'Al-Hussein SC (Irbid)'
  [ 64/870] Al-Karma                            -> 'Al-Karma SC'
  [ 68/870] Al-Qadsiah                          -> 'Al Qadsiah FC'
  [ 71/870] Al-Sadd                             -> 'Al Sadd SC'
  [ 73/870] Al-Sailiya                          -> 'Al-Sailiya SC'
  [ 78/870] Al-Talaba                           -> 'Al-Talaba SC'
  [ 81/870] Al-Wakrah                           -> 'Al-Wakrah SC'
  [ 83/870] Al-Zawraa                           -> 'Al-Zawraa SC'
  [ 89/870] Alès                                -> NO MATCH
  [ 92/870] Angers                              -> 'Angers SCO'
  [ 97/870] Antwerp                             -> 'Royal Antwerp FC'
  [100/870] Apollon Limassol                    -> 'Apollon Limassol FC'
  [106/870] Arta/Solar7                         -> NO MATCH
  [108/870] Astana                              -> 'FC Astana'
  [114/870] Atlanta United FC                   -> 'Atlanta United FC'
  [120/870] Atlético Malagueño                  -> NO MATCH
  [125/870] Atromitos                           -> 'Atromitos F.C.'
  [127/870] Auckland FC                         -> 'Auckland FC'
  [131/870] Auxerre                             -> NO MATCH
  [134/870] Bahia                               -> NO MATCH
  [136/870] Banfield                            -> NO MATCH
  [151/870] Bellinzona                          -> NO MATCH
  [153/870] Belstone                            -> NO MATCH
  [165/870] Bodø/Glimt                          -> 'FK Bodø/Glimt'
  [177/870] Boulogne                            -> NO MATCH
  [181/870] Brandsen                            -> NO MATCH
  [186/870] Brøndby                             -> 'Brøndby IF'
  [187/870] Bukhara                             -> 'FC Bukhara'
  [194/870] CS Sfaxien                          -> 'CS Sfaxien'
  [199/870] Cannes                              -> NO MATCH
  [201/870] Casa Pia                            -> 'Casa Pia A.C.'
  [202/870] Castellón                           -> 'CD Castellón'
  [203/870] Celta Vigo                          -> 'RC Celta de Vigo'
  [207/870] Cercle Brugge                       -> 'Cercle Brugge KSV'
  [212/870] Charleroi                           -> 'RAAL La Louvière'
  [213/870] Charlotte FC                        -> 'Charlotte FC'
  [214/870] Charlton Athletic                   -> 'Charlton Athletic F.C.'
  [215/870] Chaves                              -> 'G.D. Chaves'
  [225/870] Club Africain                       -> 'Club Africain'
  [226/870] Club Brugge                         -> 'Club Brugge KV'
  [230/870] Cobresal                            -> 'Cobresal'
  [232/870] Colorado Springs Switchbacks FC     -> 'Colorado Springs Switchbacks FC'
  [233/870] Columbus Crew                       -> 'Columbus Crew'
  [238/870] Cornellà                            -> NO MATCH
  [239/870] Cosmos Koblenz                      -> 'FC Cosmos Koblenz'
  [243/870] Cremonese                           -> 'US Cremonese'
  [247/870] Cultural Leonesa                    -> 'Cultural y Deportiva Leonesa'
  [249/870] Daejeon Hana Citizen                -> 'Daejeon Hana Citizen'
  [250/870] Dalian Professional (2009-2024)     -> NO MATCH
  [256/870] Delta Warsaw                        -> NO MATCH
  [257/870] Den Bosch                           -> 'FC Den Bosch'
  [258/870] Dender                              -> 'FCV Dender EH'
  [261/870] Deportivo La Guaira                 -> 'Deportivo La Guaira F.C.'
  [264/870] Derby County                        -> 'Derby County F.C.'
  [266/870] Dibba                               -> 'Dibba FC'
  [267/870] Dinamo Samarqand                    -> 'FC Dinamo Samarqand'
  [271/870] Dynamo Makhachkala                  -> 'FC Dynamo Makhachkala'
  [275/870] El Gouna                            -> 'El Gouna FC'
  [277/870] El Paso Locomotive FC               -> 'El Paso Locomotive FC'
  [278/870] Elche                               -> 'Elche CF'
  [283/870] Espérance de Tunis                  -> 'Espérance Sportive de Tunis'
  [285/870] Estrela Amadora                     -> 'C.F. Estrela da Amadora'
  [294/870] FC Augsburg                         -> 'FC Augsburg'
  [300/870] FC Cincinnati                       -> 'FC Cincinnati'
  [301/870] FC Dallas                           -> 'FC Dallas'
  [309/870] FC St. Pauli                        -> 'FC St. Pauli'
  [313/870] FCSB                                -> 'FCSB'
  [315/870] Farense                             -> 'S.C. Farense'
  [319/870] Ferencváros                         -> 'Ferencvárosi TC'
  [326/870] Foolad                              -> 'Foolad F.C.'
  [329/870] Frosinone                           -> 'Frosinone Calcio'
  [332/870] GBS Academy                         -> NO MATCH
  [335/870] Gallos Caliente Tijuana             -> NO MATCH
  [337/870] Gangwon FC                          -> 'Gangwon FC'
  [338/870] Gaziantep                           -> 'Gaziantep F.K.'
  [341/870] Gent                                -> NO MATCH
  [343/870] Gil Vicente                         -> 'Gil Vicente F.C.'
  [344/870] Girona                              -> 'Girona FC'
  [345/870] Granada                             -> 'Granada CF'
  [348/870] Grazer AK                           -> 'Grazer AK'
  [353/870] Guadalajara                         -> 'C.D. Guadalajara'
  [355/870] Guingamp                            -> NO MATCH
  [356/870] Győri ETO                           -> 'Győri ETO FC'
  [366/870] Heart of Midlothian                 -> 'Heart of Midlothian F.C.'
  [369/870] Hebei FC (2010-2023)                -> NO MATCH
  [373/870] Heracles Almelo                     -> 'Heracles Almelo'
  [376/870] Hibernian                           -> 'Hibernian F.C.'
  [377/870] Holstein Kiel                       -> 'Holstein Kiel'
  [378/870] Horadada                            -> NO MATCH
  [380/870] Hradec Králové                      -> 'FC Hradec Králové'
  [383/870] Huracán                             -> 'Club Atlético Huracán'
  [385/870] IFK Norrköping                      -> 'IFK Norrköping'
  [389/870] Independiente Rivadavia             -> 'Independiente Rivadavia'
  [395/870] Ipswich Town                        -> 'Ipswich Town F.C.'
  [396/870] Ironi Kiryat Shmona                 -> 'Hapoel Ironi Kiryat Shmona F.C.'
  [398/870] Iğdır                               -> 'Iğdır F.K.'
  [399/870] JS Kabylie                          -> 'JS Kabylie'
  [400/870] Jagiellonia Białystok               -> 'Jagiellonia Białystok'
  [403/870] Jiangsu Suning                      -> NO MATCH
  [405/870] Jong Ajax                           -> NO MATCH
  [409/870] Juárez                              -> 'FC Juárez'
  [411/870] KS Częstochowa                      -> NO MATCH
  [413/870] Kaizer Chiefs                       -> 'Kaizer Chiefs F.C.'
  [414/870] Kalba                               -> 'Kalba FC'
  [418/870] Kashima Antlers                     -> 'Kashima Antlers'
